Player,Position,Date of Birth,Age,Caps,Team,Year
Cian Healy,Prop,1987-10-07,29,62,Ireland,2017
Dave Kilcoyne,Prop,1988-12-14,28,17,Ireland,2017
Jack McGrath,Prop,1989-10-11,27,36,Ireland,2017
John Ryan,Prop,1988-08-02,28,1,Ireland,2017
Ultan Dillane,Lock,1993-11-09,23,8,Ireland,2017
Iain Henderson,Lock,1992-02-21,24,28,Ireland,2017
Billy Holland,Lock,1985-08-03,31,1,Ireland,2017
Donnacha Ryan,Lock,1983-12-11,33,43,Ireland,2017
Devin Toner,Lock,1986-06-29,30,42,Ireland,2017
Jack Conan,Flanker,1992-07-29,24,1,Ireland,2017
Dan Leavy,Flanker,1994-05-23,22,1,Ireland,2017
Seán O'Brien,Flanker,1987-02-14,29,44,Ireland,2017
Tommy O'Donnell,Flanker,1987-06-21,29,12,Ireland,2017
Peter O'Mahony,Flanker,1989-09-17,27,37,Ireland,2017
CJ Stander,Flanker,1990-04-05,26,10,Ireland,2017
Josh van der Flier,Flanker,1993-04-25,23,5,Ireland,2017
Jamie Heaslip,Number 8,1983-12-15,33,91,Ireland,2017
Kieran Marmion,Scrum-half,1992-02-11,24,9,Ireland,2017
Luke McGrath,Scrum-half,1993-02-03,24,1,Ireland,2017
Conor Murray,Scrum-half,1989-04-20,27,53,Ireland,2017
Paddy Jackson,Fly-half,1992-01-05,25,19,Ireland,2017
Johnny Sexton,Fly-half,1985-07-11,31,63,Ireland,2017
Robbie Henshaw,Centre,1993-06-12,23,24,Ireland,2017
Luke Marshall,Centre,1991-03-03,25,9,Ireland,2017
Stuart McCloskey,Centre,1992-08-06,24,1,Ireland,2017
Garry Ringrose,Centre,1995-01-26,22,3,Ireland,2017
Rory Scannell,Centre,1993-12-22,23,0,Ireland,2017
Tommy Bowe,Wing,1984-02-22,32,67,Ireland,2017
Andrew Conway,Wing,1991-07-11,25,0,Ireland,2017
Keith Earls,Wing,1987-10-02,29,54,Ireland,2017
Craig Gilroy,Wing,1991-03-11,25,9,Ireland,2017
Andrew Trimble,Wing,1984-10-20,32,69,Ireland,2017
Simon Zebo,Wing,1990-03-16,26,28,Ireland,2017
Rob Kearney,Fullback,1986-03-26,30,72,Ireland,2017
Tiernan O'Halloran,Fullback,1991-02-26,25,3,Ireland,2017
Quinn Roux,Lock,1990-10-30,26,1,Ireland,2017
Ian Keatley,Fly-half,1987-04-01,29,4,Ireland,2017
Tommaso D'Apice,Hooker,1988-06-30,28,11,Italy,2017
Ornel Gega,Hooker,1990-03-24,26,8,Italy,2017
Leonardo Ghiraldini,Hooker,1984-12-26,32,82,Italy,2017
Pietro Ceccarelli,Prop,1992-02-16,24,5,Italy,2017
Dario Chistolini,Prop,1988-09-14,28,15,Italy,2017
Lorenzo Cittadini,Prop,1982-12-17,34,53,Italy,2017
Andrea Lovotti,Prop,1989-07-28,27,9,Italy,2017
Sami Panico,Prop,1993-06-04,23,6,Italy,2017
George Biagi,Lock,1985-10-04,31,14,Italy,2017
Joshua Furno,Lock,1989-10-21,27,36,Italy,2017
Marco Fuser,Lock,1991-03-09,25,16,Italy,2017
Federico Ruzza,Lock,1994-08-04,22,0,Italy,2017
Dries van Schalkwyk,Lock,1984-12-21,32,8,Italy,2017
Marco Barbini,Flanker,1990-10-16,26,2,Italy,2017
Simone Favaro,Flanker,1988-11-07,28,33,Italy,2017
Maxime Mbanda,Flanker,1993-04-10,23,3,Italy,2017
Francesco Minto,Flanker,1987-05-20,29,31,Italy,2017
Sergio Parisse (c),Number 8,1983-09-12,33,121,Italy,2017
Braam Steyn,Number 8,1992-05-02,24,6,Italy,2017
Giorgio Bronzini,Scrum-half,1990-04-20,26,3,Italy,2017
Edoardo Gori,Scrum-half,1990-03-05,26,56,Italy,2017
Marcello Violi,Scrum-half,1993-10-11,23,2,Italy,2017
Tommaso Allan,Fly-half,1993-04-26,23,27,Italy,2017
Carlo Canna,Fly-half,1992-08-25,24,15,Italy,2017
Tommaso Benvenuti,Centre,1990-12-12,26,37,Italy,2017
Tommaso Boni,Centre,1993-01-15,24,2,Italy,2017
Michele Campagnaro,Centre,1993-03-13,23,25,Italy,2017
Luke McLean,Centre,1987-06-29,29,84,Italy,2017
Giulio Bisegni,Wing,1992-04-04,24,5,Italy,2017
Angelo Esposito,Wing,1993-06-14,23,8,Italy,2017
Giovanbattista Venditti,Wing,1990-03-27,26,38,Italy,2017
Edoardo Padovani,Fullback,1993-05-15,23,6,Italy,2017
Michele Rizzo,Prop,1982-09-16,34,22,Italy,2017
Matteo Minozzi,Fly-half,1996-06-04,20,0,Italy,2017
Luca Sperandio,Fullback,1996-01-28,21,0,Italy,2017
Fraser Brown,Hooker,1989-06-20,27,20,Scotland,2017
Ross Ford,Hooker,1984-04-23,32,102,Scotland,2017
Stuart McInally,Hooker,1990-08-09,26,9,Scotland,2017
Alex Allan,Prop,1992-02-28,24,3,Scotland,2017
Simon Berghan,Prop,1990-07-12,26,0,Scotland,2017
Allan Dell,Prop,1992-03-16,24,3,Scotland,2017
Zander Fagerson,Prop,1996-01-19,21,4,Scotland,2017
WP Nel,Prop,1986-04-30,30,15,Scotland,2017
Gordon Reid,Prop,1987-03-04,29,19,Scotland,2017
Jon Welsh,Prop,1986-10-13,30,11,Scotland,2017
Jonny Gray,Lock,1994-03-14,22,28,Scotland,2017
Richie Gray,Lock,1989-08-24,27,60,Scotland,2017
Grant Gilchrist,Lock,1990-08-09,26,15,Scotland,2017
Tim Swinson,Lock,1987-02-17,29,25,Scotland,2017
Ben Toolis,Lock,1992-03-31,24,1,Scotland,2017
John Barclay,Flanker,1986-09-24,30,55,Scotland,2017
Cornell du Preez,Flanker,1991-03-23,25,0,Scotland,2017
John Hardie,Flanker,1988-07-27,28,13,Scotland,2017
Rob Harley,Flanker,1990-05-26,26,19,Scotland,2017
Hamish Watson,Flanker,1991-10-15,25,5,Scotland,2017
Ryan Wilson,Number 8,1989-05-18,27,23,Scotland,2017
Josh Strauss,Number 8,1986-10-23,30,9,Scotland,2017
Greig Laidlaw (c),Scrum-half,1985-10-12,31,56,Scotland,2017
Ali Price,Scrum-half,1993-05-12,23,1,Scotland,2017
Henry Pyrgos,Scrum-half,1989-07-09,27,18,Scotland,2017
Finn Russell,Fly-half,1992-09-23,24,22,Scotland,2017
Duncan Weir,Fly-half,1991-05-10,25,23,Scotland,2017
Mark Bennett,Centre,1993-03-03,23,17,Scotland,2017
Alex Dunbar,Centre,1990-04-23,26,19,Scotland,2017
Huw Jones,Centre,1993-12-17,23,3,Scotland,2017
Matt Scott,Centre,1990-09-30,26,36,Scotland,2017
Duncan Taylor,Centre,1989-09-05,27,18,Scotland,2017
Damien Hoyland,Wing,1994-01-11,23,2,Scotland,2017
Sean Maitland,Wing,1988-09-14,28,26,Scotland,2017
Tommy Seymour,Wing,1988-07-01,28,31,Scotland,2017
Tim Visser,Wing,1987-05-29,29,28,Scotland,2017
Stuart Hogg,Fullback,1992-06-24,24,48,Scotland,2017
Scott Baldwin,Hooker,1988-07-12,28,28,Wales,2017
Kristian Dacey,Hooker,1989-07-25,27,3,Wales,2017
Ken Owens,Hooker,1987-01-03,30,45,Wales,2017
Scott Andrews,Prop,1989-08-01,27,13,Wales,2017
Rob Evans,Prop,1992-04-14,24,12,Wales,2017
Tomas Francis,Prop,1992-04-27,24,17,Wales,2017
Rhodri Jones,Prop,1991-12-23,25,14,Wales,2017
Samson Lee,Prop,1992-11-30,24,29,Wales,2017
Nicky Smith,Prop,1994-04-07,22,7,Wales,2017
Jake Ball,Lock,1991-06-21,25,21,Wales,2017
Luke Charteris,Lock,1983-03-09,33,71,Wales,2017
Cory Hill,Lock,1992-02-10,24,3,Wales,2017
Alun Wyn Jones (c),Lock,1985-09-19,31,105,Wales,2017
Rory Thornton,Lock,1995-03-16,21,0,Wales,2017
Olly Cracknell,Flanker,1994-05-26,22,0,Wales,2017
James King,Flanker,1990-07-24,26,10,Wales,2017
Ross Moriarty,Flanker,1994-04-18,22,12,Wales,2017
Justin Tipuric,Flanker,1989-08-06,27,46,Wales,2017
Sam Warburton,Flanker,1988-10-05,28,69,Wales,2017
Thomas Young,Flanker,1992-05-18,24,0,Wales,2017
Taulupe Faletau,Number 8,1990-11-12,26,62,Wales,2017
Aled Davies,Scrum-half,1992-07-19,24,0,Wales,2017
Gareth Davies,Scrum-half,1990-08-18,26,21,Wales,2017
Rhys Webb,Scrum-half,1988-12-09,28,23,Wales,2017
Dan Biggar,Fly-half,1989-10-16,27,51,Wales,2017
Sam Davies,Fly-half,1993-10-06,23,3,Wales,2017
Owen Williams,Fly-half,1992-02-27,24,0,Wales,2017
Jonathan Davies,Centre,1988-04-05,28,59,Wales,2017
Jamie Roberts,Centre,1986-11-08,30,86,Wales,2017
Scott Williams,Centre,1990-10-10,26,41,Wales,2017
Alex Cuthbert,Wing,1990-04-05,26,44,Wales,2017
Steff Evans,Wing,1994-09-01,22,0,Wales,2017
Ashton Hewitt,Wing,1994-11-20,22,0,Wales,2017
George North,Wing,1992-04-13,24,65,Wales,2017
Leigh Halfpenny,Fullback,1988-12-22,28,66,Wales,2017
Liam Williams,Fullback,1991-04-09,25,38,Wales,2017
Luke Cowan-Dickie,Hooker,1993-06-20,22,1,England,2016
Jamie George,Hooker,1990-10-22,25,3,England,2016
Dylan Hartley (c),Hooker,1986-03-24,29,66,England,2016
Dan Cole,Prop,1987-05-09,28,56,England,2016
Paul Hill,Prop,1995-03-02,20,0,England,2016
Joe Marler,Prop,1990-07-07,25,37,England,2016
Matt Mullan,Prop,1987-02-23,28,9,England,2016
Henry Thomas,Prop,1991-10-30,24,7,England,2016
Mako Vunipola,Prop,1991-01-13,25,27,England,2016
Maro Itoje,Lock,1994-10-28,21,0,England,2016
George Kruis,Lock,1990-02-22,25,10,England,2016
Joe Launchbury,Lock,1991-04-12,24,28,England,2016
Courtney Lawes,Lock,1989-02-23,26,42,England,2016
Jack Clifford,Flanker,1993-02-12,22,0,England,2016
James Haskell,Flanker,1985-04-02,30,62,England,2016
Matt Kvesic,Flanker,1992-04-14,23,2,England,2016
Chris Robshaw,Flanker,1986-06-04,29,43,England,2016
Josh Beaumont,Number 8,1992-03-24,23,0,England,2016
Billy Vunipola,Number 8,1992-11-03,23,21,England,2016
Danny Care,Scrum-half,1987-01-02,29,53,England,2016
Ben Youngs,Scrum-half,1989-09-05,26,52,England,2016
Owen Farrell,Fly-half,1991-09-24,24,35,England,2016
George Ford,Fly-half,1993-03-16,22,17,England,2016
Elliot Daly,Centre,1992-10-08,23,0,England,2016
Ollie Devoto,Centre,1993-09-22,22,0,England,2016
Sam Hill,Centre,1993-07-14,22,0,England,2016
Jonathan Joseph,Centre,1991-05-21,24,16,England,2016
Chris Ashton,Wing,1987-03-29,28,39,England,2016
Jack Nowell,Wing,1993-04-11,22,10,England,2016
Anthony Watson,Wing,1994-02-26,21,15,England,2016
Marland Yarde,Wing,1992-04-20,23,7,England,2016
Mike Brown,Fullback,1985-09-04,30,43,England,2016
Alex Goode,Fullback,1988-05-07,27,19,England,2016
Kieran Brookes,Prop,1990-08-29,25,15,England,2016
Ed Slater,Lock,1988-08-01,27,0,England,2016
Dave Ewers,Number 8,1990-11-03,25,0,England,2016
Luther Burrell,Centre,1987-12-06,28,13,England,2016
Manu Tuilagi,Centre,1991-05-18,24,25,England,2016
Semesa Rokoduguni,Wing,1987-08-28,28,1,England,2016
Camille Chat,Hooker,1995-12-18,20,0,France,2016
Guilhem Guirado (c),Hooker,1986-06-17,29,38,France,2016
Uini Atonio,Prop,1990-03-26,25,10,France,2016
Eddy Ben Arous,Prop,1990-08-25,25,12,France,2016
Jefferson Poirot,Prop,1992-11-01,23,0,France,2016
Rabah Slimani,Prop,1989-10-18,26,21,France,2016
Alexandre Flanquart,Lock,1989-10-09,26,18,France,2016
Paul Jedrasiak,Lock,1993-02-17,22,0,France,2016
Yoann Maestri,Lock,1988-01-14,28,42,France,2016
Sébastien Vahaamahina,Lock,1991-10-21,24,17,France,2016
Antoine Burban,Flanker,1987-07-22,28,3,France,2016
Yacouba Camara,Flanker,1994-06-02,21,0,France,2016
Kevin Gourdon,Flanker,1990-01-23,26,0,France,2016
Wenceslas Lauret,Flanker,1989-03-28,26,7,France,2016
Damien Chouly,Number 8,1985-11-27,30,36,France,2016
Louis Picamoles,Number 8,1986-02-05,30,51,France,2016
Sébastien Bezy,Scrum-half,1991-11-22,24,0,France,2016
Maxime Machenaud,Scrum-half,1988-12-30,27,18,France,2016
Morgan Parra,Scrum-half,1988-11-15,27,66,France,2016
Jean-Marc Doussain,Fly-half,1991-02-12,24,10,France,2016
Jules Plisson,Fly-half,1991-08-20,24,6,France,2016
Jonathan Danty,Centre,1992-10-07,23,0,France,2016
Alexandre Dumoulin,Centre,1989-08-24,26,8,France,2016
Gaël Fickou,Centre,1994-03-26,21,15,France,2016
Rémi Lamerat,Centre,1990-01-14,26,7,France,2016
Wesley Fofana,Centre,1988-01-20,28,39,France,2016
Benjamin Fall,Wing,1989-03-03,26,6,France,2016
Maxime Médard,Wing,1986-11-16,29,41,France,2016
Virimi Vakatawa,Wing,1992-05-01,23,0,France,2016
Hugo Bonneval,Fullback,1990-11-19,25,4,France,2016
Scott Spedding,Fullback,1986-05-04,29,14,France,2016
Xavier Chiocci,Prop,1990-02-13,25,4,France,2016
Vincent Pelo,Prop,1988-04-22,27,0,France,2016
Bernard Le Roux,Flanker,1989-06-04,26,23,France,2016
Loann Goujon,Number 8,1989-04-23,26,6,France,2016
Baptiste Serin,Scrum-half,1994-06-20,21,0,France,2016
François Trinh-Duc,Fly-half,1986-11-11,29,50,France,2016
Maxime Mermoz,Centre,1986-07-28,29,30,France,2016
Djibril Camara,Wing,1989-06-22,26,0,France,2016
Marvin O'Connor,Wing,1991-04-18,24,0,France,2016
Teddy Thomas,Wing,1991-04-18,24,4,France,2016
Rory Best (c),Hooker,1982-08-15,33,89,Ireland,2016
Seán Cronin,Hooker,1986-05-06,29,48,Ireland,2016
Rob Herring,Hooker,1990-04-27,25,1,Ireland,2016
Richardt Strauss,Hooker,1986-01-29,30,13,Ireland,2016
James Cronin,Prop,1990-11-23,25,2,Ireland,2016
Tadhg Furlong,Prop,1992-11-14,23,3,Ireland,2016
Jack McGrath,Prop,1989-10-11,26,25,Ireland,2016
Marty Moore,Prop,1991-03-01,24,10,Ireland,2016
Nathan White,Prop,1981-09-04,34,8,Ireland,2016
Ultan Dillane,Lock,1993-11-09,22,0,Ireland,2016
Mike McCarthy,Lock,1981-11-27,34,17,Ireland,2016
Donnacha Ryan,Lock,1983-12-11,32,34,Ireland,2016
Devin Toner,Lock,1986-06-29,29,31,Ireland,2016
Seán O'Brien,Flanker,1987-02-14,28,41,Ireland,2016
Tommy O'Donnell,Flanker,1987-05-21,28,9,Ireland,2016
Rhys Ruddock,Flanker,1990-11-13,25,6,Ireland,2016
Josh van der Flier,Flanker,1993-04-25,22,0,Ireland,2016
Jamie Heaslip,Number 8,1983-12-15,32,80,Ireland,2016
CJ Stander,Number 8,1990-04-05,25,0,Ireland,2016
Kieran Marmion,Scrum-half,1992-02-11,23,4,Ireland,2016
Conor Murray,Scrum-half,1989-04-20,26,42,Ireland,2016
Eoin Reddan,Scrum-half,1980-11-20,35,68,Ireland,2016
Paddy Jackson,Fly-half,1992-01-05,24,13,Ireland,2016
Ian Madigan,Fly-half,1989-03-21,26,25,Ireland,2016
Johnny Sexton,Fly-half,1985-07-11,30,56,Ireland,2016
Robbie Henshaw,Centre,1993-06-12,22,15,Ireland,2016
Luke Marshall,Centre,1991-03-03,24,6,Ireland,2016
Stuart McCloskey,Centre,1992-08-06,23,0,Ireland,2016
Jared Payne,Centre,1985-10-13,30,10,Ireland,2016
Keith Earls,Wing,1987-10-02,28,46,Ireland,2016
Luke Fitzgerald,Wing,1987-09-13,28,34,Ireland,2016
Dave Kearney,Wing,1989-06-19,26,14,Ireland,2016
Andrew Trimble,Wing,1984-10-20,31,58,Ireland,2016
Simon Zebo,Wing,1990-03-16,25,21,Ireland,2016
Rob Kearney,Fullback,1986-03-26,29,67,Ireland,2016
Finlay Bealham,Prop,1991-10-09,24,0,Ireland,2016
Cian Healy,Prop,1987-10-07,28,56,Ireland,2016
Mike Ross,Prop,1979-12-21,36,56,Ireland,2016
Dave Foley,Lock,1988-05-16,27,2,Ireland,2016
Jordi Murphy,Flanker,1991-04-22,24,14,Ireland,2016
Jack O'Donoghue,Flanker,1994-01-08,22,0,Ireland,2016
Craig Gilroy,Wing,1991-03-11,24,6,Ireland,2016
Fergus McFadden,Wing,1986-06-17,29,29,Ireland,2016
Ornel Gega,Hooker,1990-03-24,25,0,Italy,2016
Leonardo Ghiraldini,Hooker,1984-12-26,31,80,Italy,2016
Martin Castrogiovanni,Prop,1981-10-21,34,115,Italy,2016
Dario Chistolini,Prop,1988-09-14,27,13,Italy,2016
Lorenzo Cittadini,Prop,1982-12-17,33,44,Italy,2016
Andrea Lovotti,Prop,1989-07-28,26,0,Italy,2016
Matteo Zanusso,Prop,1993-04-09,22,0,Italy,2016
Valerio Bernabò,Lock,1984-03-03,31,27,Italy,2016
George Biagi,Lock,1985-10-04,30,8,Italy,2016
Marco Fuser,Lock,1991-03-09,24,6,Italy,2016
Francesco Minto,Flanker,1987-05-20,28,23,Italy,2016
Jacopo Sarto,Flanker,1990-07-15,25,0,Italy,2016
Braam Steyn,Flanker,1992-05-02,23,0,Italy,2016
Alessandro Zanni,Flanker,1984-01-31,32,94,Italy,2016
Sergio Parisse (c),Number 8,1983-09-12,32,114,Italy,2016
Dries van Schalkwyk,Number 8,1984-12-21,31,0,Italy,2016
Edoardo Gori,Scrum-half,1990-03-05,25,47,Italy,2016
Guglielmo Palazzani,Scrum-half,1991-04-11,24,15,Italy,2016
Carlo Canna,Fly-half,1992-08-25,23,7,Italy,2016
Edoardo Padovani,Fly-half,1993-05-15,22,0,Italy,2016
Giulio Bisegni,Centre,1992-04-04,23,2,Italy,2016
Michele Campagnaro,Centre,1993-03-13,22,18,Italy,2016
Tommaso Castello,Centre,1991-08-14,24,0,Italy,2016
Gonzalo García,Centre,1984-02-18,31,39,Italy,2016
Kelly Haimona,Centre,1986-07-30,29,7,Italy,2016
Andrea Pratichetti,Centre,1988-11-26,27,1,Italy,2016
Mattia Bellini,Wing,1994-02-08,21,0,Italy,2016
David Odiete,Wing,1993-02-24,22,0,Italy,2016
Leonardo Sarto,Wing,1992-01-15,24,23,Italy,2016
Luke McLean,Fullback,1987-06-29,28,75,Italy,2016
Oliviero Fabiani,Hooker,1990-07-13,25,0,Italy,2016
Davide Giazzon,Hooker,1986-01-16,30,24,Italy,2016
Pietro Ceccarelli,Prop,1992-02-16,23,0,Italy,2016
Joshua Furno,Lock,1989-10-21,26,35,Italy,2016
Quintin Geldenhuys,Lock,1981-06-19,34,61,Italy,2016
Robert Barbieri,Flanker,1984-06-05,31,39,Italy,2016
Alberto Lucchese,Scrum-half,1986-03-28,29,0,Italy,2016
Tommaso Allan,Fly-half,1993-04-26,22,21,Italy,2016
Luca Morisi,Centre,1991-02-22,24,16,Italy,2016
Andrea Buondonno,Wing,1992-01-01,24,0,Italy,2016
Ross Ford,Hooker,1984-04-23,31,94,Scotland,2016
Pat MacArthur,Hooker,1987-04-27,28,6,Scotland,2016
Stuart McInally,Hooker,1990-08-09,25,2,Scotland,2016
Alasdair Dickinson,Prop,1983-09-11,32,52,Scotland,2016
Zander Fagerson,Prop,1996-01-19,20,0,Scotland,2016
Moray Low,Prop,1984-11-28,31,29,Scotland,2016
WP Nel,Prop,1986-04-30,29,8,Scotland,2016
Gordon Reid,Prop,1987-03-04,28,15,Scotland,2016
Rory Sutherland,Prop,1992-08-24,23,0,Scotland,2016
Jonny Gray,Lock,1994-03-14,21,19,Scotland,2016
Richie Gray,Lock,1989-08-24,26,51,Scotland,2016
Tim Swinson,Lock,1987-02-17,28,17,Scotland,2016
Ben Toolis,Lock,1992-03-31,23,1,Scotland,2016
John Barclay,Flanker,1986-09-24,29,45,Scotland,2016
Blair Cowan,Flanker,1986-04-21,29,15,Scotland,2016
Chris Fusaro,Flanker,1989-07-21,26,4,Scotland,2016
John Hardie,Flanker,1988-07-27,27,5,Scotland,2016
Josh Strauss,Flanker,1986-10-23,29,5,Scotland,2016
Adam Ashe,Number 8,1993-07-24,22,6,Scotland,2016
David Denton,Number 8,1990-02-05,26,32,Scotland,2016
Sam Hidalgo-Clyne,Scrum-half,1993-08-04,22,8,Scotland,2016
Greig Laidlaw (c),Scrum-half,1985-10-12,30,46,Scotland,2016
Finn Russell,Fly-half,1992-09-23,23,15,Scotland,2016
Duncan Weir,Fly-half,1991-05-10,24,21,Scotland,2016
Mark Bennett,Centre,1993-02-03,23,13,Scotland,2016
Alex Dunbar,Centre,1990-04-23,25,14,Scotland,2016
Peter Horne,Centre,1989-10-05,26,15,Scotland,2016
Matt Scott,Centre,1990-09-30,25,33,Scotland,2016
Duncan Taylor,Centre,1989-09-05,26,12,Scotland,2016
Sean Lamont,Wing,1981-01-15,35,101,Scotland,2016
Sean Maitland,Wing,1988-09-14,27,20,Scotland,2016
Tommy Seymour,Wing,1988-07-01,27,22,Scotland,2016
Tim Visser,Wing,1987-05-29,28,23,Scotland,2016
Ruaridh Jackson,Fullback,1988-02-12,27,27,Scotland,2016
Stuart Hogg,Fullback,1992-06-24,30,38,Scotland,2016
Fraser Brown,Hooker,1989-06-20,26,15,Scotland,2016
George Turner,Hooker,1991-01-03,25,0,Scotland,2016
Alex Allan,Prop,1992-02-28,23,1,Scotland,2016
Rob Harley,Flanker,1990-05-26,32,17,Scotland,2016
Hamish Watson,Flanker,1991-10-15,24,2,Scotland,2016
Ryan Wilson,Number 8,1989-05-18,33,15,Scotland,2016
Grayson Hart,Scrum-half,1988-06-19,27,3,Scotland,2016
Henry Pyrgos,Scrum-half,1989-07-09,26,17,Scotland,2016
Scott Baldwin ‡,Hooker,1988-07-12,27,15,Wales,2016
Kristian Dacey,Hooker,1989-07-25,26,2,Wales,2016
Ken Owens,Hooker,1987-01-03,29,34,Wales,2016
Rob Evans,Prop,1992-04-14,23,3,Wales,2016
Tomas Francis,Prop,1992-04-27,23,7,Wales,2016
Paul James,Prop,1982-05-13,33,65,Wales,2016
Aaron Jarvis,Prop,1986-05-20,29,16,Wales,2016
Gethin Jenkins,Prop,1980-11-17,35,119,Wales,2016
Samson Lee ‡,Prop,1992-11-30,23,17,Wales,2016
Jake Ball ‡,Lock,1991-06-21,24,15,Wales,2016
Luke Charteris,Lock,1983-03-09,32,62,Wales,2016
Bradley Davies,Lock,1987-01-09,29,49,Wales,2016
Dominic Day,Lock,1985-08-22,30,3,Wales,2016
Alun Wyn Jones ‡,Lock,1985-09-19,30,94,Wales,2016
Josh Turnbull,Flanker,1988-03-12,27,7,Wales,2016
James King ‡,Flanker,1990-07-24,25,7,Wales,2016
Dan Lydiate ‡,Flanker,1987-12-18,28,51,Wales,2016
Ross Moriarty,Flanker,1994-04-18,21,4,Wales,2016
Justin Tipuric,Flanker,1989-08-06,26,38,Wales,2016
Sam Warburton (c) ‡,Flanker,1988-10-05,27,60,Wales,2016
Taulupe Faletau,Number 8,1990-11-12,25,52,Wales,2016
Aled Davies,Scrum-half,1992-07-19,23,0,Wales,2016
Gareth Davies,Scrum-half,1990-08-18,25,9,Wales,2016
Lloyd Williams,Scrum-half,1989-11-30,26,24,Wales,2016
Dan Biggar ‡,Fly-half,1989-10-16,26,39,Wales,2016
Rhys Priestland,Fly-half,1987-01-09,29,40,Wales,2016
Cory Allen,Centre,1993-02-11,22,4,Wales,2016
Jonathan Davies,Centre,1988-04-05,27,48,Wales,2016
Tyler Morgan ‡,Centre,1995-09-11,20,3,Wales,2016
Jamie Roberts,Centre,1986-11-08,35,74,Wales,2016
Hallam Amos,Wing,1994-09-24,21,5,Wales,2016
Alex Cuthbert,Wing,1990-04-05,25,40,Wales,2016
Tom James,Wing,1987-04-17,28,10,Wales,2016
George North,Wing,1992-04-13,23,55,Wales,2016
Gareth Anscombe ‡,Fullback,1991-05-10,24,3,Wales,2016
Matthew Morgan,Fullback,1992-04-23,23,5,Wales,2016
Liam Williams,Fullback,1991-04-09,24,26,Wales,2016
Rhys Webb ‡,Scrum-half,1988-12-09,27,16,Wales,2016
Dylan Hartley,Hooker,1986-03-24,28,61,England,2015
Tom Youngs,Hooker,1987-01-28,28,17,England,2015
Dan Cole,Prop,1987-05-09,27,45,England,2015
Alex Corbisiero,Prop,1988-08-30,26,19,England,2015
Joe Marler,Prop,1990-07-07,24,26,England,2015
Mako Vunipola,Prop,1991-01-13,24,15,England,2015
David Wilson,Prop,1985-04-09,29,41,England,2015
Dave Attwood,Lock,1987-04-05,27,16,England,2015
Graham Kitchener,Lock,1989-09-29,25,0,England,2015
George Kruis,Lock,1990-02-22,32,4,England,2015
Geoff Parling,Lock,1983-10-28,31,21,England,2015
Calum Clark,Flanker,1989-06-10,25,0,England,2015
James Haskell,Flanker,1985-04-02,29,53,England,2015
Chris Robshaw (c),Flanker,1986-06-04,28,32,England,2015
Tom Wood,Flanker,1986-11-03,28,34,England,2015
Nick Easter,Number 8,1978-08-15,36,47,England,2015
Billy Vunipola,Number 8,1992-11-03,22,12,England,2015
Danny Care,Scrum-half,1987-01-02,28,50,England,2015
Richard Wigglesworth,Scrum-half,1983-06-09,31,16,England,2015
Ben Youngs,Scrum-half,1989-09-05,25,42,England,2015
Danny Cipriani,Fly-half,1987-11-02,27,9,England,2015
Owen Farrell,Fly-half,1991-09-24,23,29,England,2015
George Ford,Fly-half,1993-03-16,21,6,England,2015
Stephen Myler,Fly-half,1984-07-21,30,1,England,2015
Brad Barritt,Centre,1986-08-07,28,22,England,2015
Luther Burrell,Centre,1987-12-06,27,7,England,2015
Kyle Eastmond,Centre,1989-07-17,25,6,England,2015
Jonathan Joseph,Centre,1991-05-21,23,6,England,2015
Billy Twelvetrees,Centre,1988-11-15,26,16,England,2015
Jonny May,Wing,1990-04-01,24,11,England,2015
Jack Nowell,Wing,1993-04-11,21,5,England,2015
Anthony Watson,Wing,1994-02-26,20,4,England,2015
Mike Brown,Fullback,1985-09-04,29,33,England,2015
Alex Goode,Fullback,1988-05-07,26,16,England,2015
Rob Webber,Hooker,1986-08-01,28,12,England,2015
Kieran Brookes,Prop,1990-08-29,24,6,England,2015
Henry Thomas,Prop,1991-10-30,23,7,England,2015
Christian Day,Lock,1983-06-24,31,0,England,2015
Courtney Lawes,Lock,1989-02-23,25,36,England,2015
Tom Croft,Flanker,1985-11-07,29,38,England,2015
Sam Burgess,Centre,1988-12-14,26,0,England,2015
Henry Slade,Centre,1993-03-19,21,0,England,2015
Chris Pennell,Fullback,1987-04-26,27,1,England,2015
Guilhem Guirado,Hooker,1986-06-17,28,26,France,2015
Benjamin Kayser,Hooker,1984-07-26,30,27,France,2015
Uini Atonio,Prop,1990-03-26,24,3,France,2015
Eddy Ben Arous,Prop,1990-08-25,24,1,France,2015
Nicolas Mas,Prop,1980-05-23,34,76,France,2015
Alexandre Menini,Prop,1983-08-05,31,5,France,2015
Rabah Slimani,Prop,1989-10-18,25,10,France,2015
Alexandre Flanquart,Lock,1989-10-09,25,10,France,2015
Yoann Maestri,Lock,1988-01-14,27,31,France,2015
Pascal Papé,Lock,1980-10-05,34,57,France,2015
Romain Taofifénua,Lock,1990-09-14,24,3,France,2015
Thierry Dusautoir (c),Flanker,1981-11-18,33,70,France,2015
Bernard Le Roux,Flanker,1989-06-04,25,11,France,2015
Yannick Nyanga,Flanker,1983-12-19,31,40,France,2015
Charles Ollivon,Flanker,1993-05-11,21,2,France,2015
Damien Chouly,Number 8,1985-11-27,29,24,France,2015
Louis Picamoles,Number 8,1986-02-05,29,44,France,2015
